"subject","subjectLabel","researcher","researcherLabel"
"http://data.cervantesvirtual.com/person/40","Cervantes Saavedra, Miguel de, 1547-1616","http://data.cervantesvirtual.com/person/5413","Fernández, Jaime, 1938-"
"http://data.cervantesvirtual.com/person/40","Cervantes Saavedra, Miguel de, 1547-1616","http://data.cervantesvirtual.com/person/76876","Damiani, Bruno Mario"
"http://data.cervantesvirtual.com/person/40","Cervantes Saavedra, Miguel de, 1547-1616","http://data.cervantesvirtual.com/person/76876","Damiani, Bruno Mario"
"http://data.cervantesvirtual.com/person/40","Cervantes Saavedra, Miguel de, 1547-1616","http://data.cervantesvirtual.com/person/31","Menéndez y Pelayo, Marcelino, 1856-1912"
"http://data.cervantesvirtual.com/person/40","Cervantes Saavedra, Miguel de, 1547-1616","http://data.cervantesvirtual.com/person/3869","Schevill, Rudolph, 1874-1946"
"http://data.cervantesvirtual.com/person/40","Cervantes Saavedra, Miguel de, 1547-1616","http://data.cervantesvirtual.com/person/3869","Schevill, Rudolph, 1874-1946"
"http://data.cervantesvirtual.com/person/40","Cervantes Saavedra, Miguel de, 1547-1616","http://data.cervantesvirtual.com/person/3870","Bonilla y San Martín, Adolfo, 1875-1926"
"http://data.cervantesvirtual.com/person/40","Cervantes Saavedra, Miguel de, 1547-1616","http://data.cervantesvirtual.com/person/3870","Bonilla y San Martín, Adolfo, 1875-1926"
"http://data.cervantesvirtual.com/person/40","Cervantes Saavedra, Miguel de, 1547-1616","http://data.cervantesvirtual.com/corporatebody/4247","Biblioteca Virtual Miguel de Cervantes"
"http://data.cervantesvirtual.com/person/40","Cervantes Saavedra, Miguel de, 1547-1616","http://data.cervantesvirtual.com/person/3698","Rodríguez Almodóvar, Antonio, 1941-"
"http://data.cervantesvirtual.com/person/40","Cervantes Saavedra, Miguel de, 1547-1616","http://data.cervantesvirtual.com/person/3698","Rodríguez Almodóvar, Antonio, 1941-"
"http://data.cervantesvirtual.com/person/40","Cervantes Saavedra, Miguel de, 1547-1616","http://data.cervantesvirtual.com/person/5466","Rodríguez Gutiérrez, Borja, 1958-"
"http://data.cervantesvirtual.com/person/40","Cervantes Saavedra, Miguel de, 1547-1616","http://data.cervantesvirtual.com/person/146","Fernández de Navarrete, Martín, 1765-1844"
"http://data.cervantesvirtual.com/person/40","Cervantes Saavedra, Miguel de, 1547-1616","http://data.cervantesvirtual.com/person/146","Fernández de Navarrete, Martín, 1765-1844"
"http://data.cervantesvirtual.com/person/40","Cervantes Saavedra, Miguel de, 1547-1616","http://data.cervantesvirtual.com/person/146","Fernández de Navarrete, Martín, 1765-1844"
"http://data.cervantesvirtual.com/person/40","Cervantes Saavedra, Miguel de, 1547-1616","http://data.cervantesvirtual.com/person/5464","Sánchez, José Rogerio"
"http://data.cervantesvirtual.com/person/40","Cervantes Saavedra, Miguel de, 1547-1616","http://data.cervantesvirtual.com/person/2670","Medina, José Toribio, 1852-1930"
"http://data.cervantesvirtual.com/person/40","Cervantes Saavedra, Miguel de, 1547-1616","http://data.cervantesvirtual.com/person/3272","Álvarez Barrientos, Joaquín"
"http://data.cervantesvirtual.com/person/40","Cervantes Saavedra, Miguel de, 1547-1616","http://data.cervantesvirtual.com/person/5918","Ghiano, Juan Carlos"
"http://data.cervantesvirtual.com/person/40","Cervantes Saavedra, Miguel de, 1547-1616","http://data.cervantesvirtual.com/person/3002","Patiño Eirín, Cristina"
"http://data.cervantesvirtual.com/person/40","Cervantes Saavedra, Miguel de, 1547-1616","http://data.cervantesvirtual.com/person/555","Vega, Ventura de la, 1807-1865"
"http://data.cervantesvirtual.com/person/40","Cervantes Saavedra, Miguel de, 1547-1616","http://data.cervantesvirtual.com/person/2977","Zamora Vicente, Alonso, 1916-2006"
"http://data.cervantesvirtual.com/person/40","Cervantes Saavedra, Miguel de, 1547-1616","http://data.cervantesvirtual.com/person/3622","Sevilla Arroyo, Florencio"
"http://data.cervantesvirtual.com/person/40","Cervantes Saavedra, Miguel de, 1547-1616","http://data.cervantesvirtual.com/person/3622","Sevilla Arroyo, Florencio"
"http://data.cervantesvirtual.com/person/40","Cervantes Saavedra, Miguel de, 1547-1616","http://data.cervantesvirtual.com/person/2829","Molíns, Mariano Roca de Togores, Marqués de, 1812-1889"
"http://data.cervantesvirtual.com/person/40","Cervantes Saavedra, Miguel de, 1547-1616","http://data.cervantesvirtual.com/person/5609","Lanuza, José Luis, n. 1903"
"http://data.cervantesvirtual.com/person/40","Cervantes Saavedra, Miguel de, 1547-1616","http://data.cervantesvirtual.com/person/2987","Eisenberg, Daniel, 1946-"
"http://data.cervantesvirtual.com/person/40","Cervantes Saavedra, Miguel de, 1547-1616","http://data.cervantesvirtual.com/person/2987","Eisenberg, Daniel, 1946-"
"http://data.cervantesvirtual.com/person/40","Cervantes Saavedra, Miguel de, 1547-1616","http://data.cervantesvirtual.com/person/2987","Eisenberg, Daniel, 1946-"
"http://data.cervantesvirtual.com/person/40","Cervantes Saavedra, Miguel de, 1547-1616","http://data.cervantesvirtual.com/person/2987","Eisenberg, Daniel, 1946-"
"http://data.cervantesvirtual.com/person/40","Cervantes Saavedra, Miguel de, 1547-1616","http://data.cervantesvirtual.com/person/2987","Eisenberg, Daniel, 1946-"
"http://data.cervantesvirtual.com/person/40","Cervantes Saavedra, Miguel de, 1547-1616","http://data.cervantesvirtual.com/person/2987","Eisenberg, Daniel, 1946-"
"http://data.cervantesvirtual.com/person/40","Cervantes Saavedra, Miguel de, 1547-1616","http://data.cervantesvirtual.com/person/2987","Eisenberg, Daniel, 1946-"
"http://data.cervantesvirtual.com/person/40","Cervantes Saavedra, Miguel de, 1547-1616","http://data.cervantesvirtual.com/person/2987","Eisenberg, Daniel, 1946-"
"http://data.cervantesvirtual.com/person/40","Cervantes Saavedra, Miguel de, 1547-1616","http://data.cervantesvirtual.com/person/2987","Eisenberg, Daniel, 1946-"
"http://data.cervantesvirtual.com/person/40","Cervantes Saavedra, Miguel de, 1547-1616","http://data.cervantesvirtual.com/person/2987","Eisenberg, Daniel, 1946-"
"http://data.cervantesvirtual.com/person/40","Cervantes Saavedra, Miguel de, 1547-1616","http://data.cervantesvirtual.com/person/2987","Eisenberg, Daniel, 1946-"
"http://data.cervantesvirtual.com/person/40","Cervantes Saavedra, Miguel de, 1547-1616","http://data.cervantesvirtual.com/person/2987","Eisenberg, Daniel, 1946-"
"http://data.cervantesvirtual.com/person/40","Cervantes Saavedra, Miguel de, 1547-1616","http://data.cervantesvirtual.com/person/2987","Eisenberg, Daniel, 1946-"
"http://data.cervantesvirtual.com/person/40","Cervantes Saavedra, Miguel de, 1547-1616","http://data.cervantesvirtual.com/person/2987","Eisenberg, Daniel, 1946-"
"http://data.cervantesvirtual.com/person/40","Cervantes Saavedra, Miguel de, 1547-1616","http://data.cervantesvirtual.com/person/2987","Eisenberg, Daniel, 1946-"
"http://data.cervantesvirtual.com/person/40","Cervantes Saavedra, Miguel de, 1547-1616","http://data.cervantesvirtual.com/person/2987","Eisenberg, Daniel, 1946-"
"http://data.cervantesvirtual.com/person/40","Cervantes Saavedra, Miguel de, 1547-1616","http://data.cervantesvirtual.com/person/2987","Eisenberg, Daniel, 1946-"
"http://data.cervantesvirtual.com/person/40","Cervantes Saavedra, Miguel de, 1547-1616","http://data.cervantesvirtual.com/person/2987","Eisenberg, Daniel, 1946-"
"http://data.cervantesvirtual.com/person/40","Cervantes Saavedra, Miguel de, 1547-1616","http://data.cervantesvirtual.com/person/2987","Eisenberg, Daniel, 1946-"
"http://data.cervantesvirtual.com/person/40","Cervantes Saavedra, Miguel de, 1547-1616","http://data.cervantesvirtual.com/person/2987","Eisenberg, Daniel, 1946-"
"http://data.cervantesvirtual.com/person/40","Cervantes Saavedra, Miguel de, 1547-1616","http://data.cervantesvirtual.com/person/2987","Eisenberg, Daniel, 1946-"
"http://data.cervantesvirtual.com/person/40","Cervantes Saavedra, Miguel de, 1547-1616","http://data.cervantesvirtual.com/person/2987","Eisenberg, Daniel, 1946-"
"http://data.cervantesvirtual.com/person/40","Cervantes Saavedra, Miguel de, 1547-1616","http://data.cervantesvirtual.com/person/2987","Eisenberg, Daniel, 1946-"
"http://data.cervantesvirtual.com/person/40","Cervantes Saavedra, Miguel de, 1547-1616","http://data.cervantesvirtual.com/person/2987","Eisenberg, Daniel, 1946-"
"http://data.cervantesvirtual.com/person/40","Cervantes Saavedra, Miguel de, 1547-1616","http://data.cervantesvirtual.com/person/2987","Eisenberg, Daniel, 1946-"
"http://data.cervantesvirtual.com/person/40","Cervantes Saavedra, Miguel de, 1547-1616","http://data.cervantesvirtual.com/person/2987","Eisenberg, Daniel, 1946-"
"http://data.cervantesvirtual.com/person/40","Cervantes Saavedra, Miguel de, 1547-1616","http://data.cervantesvirtual.com/person/2987","Eisenberg, Daniel, 1946-"
"http://data.cervantesvirtual.com/person/40","Cervantes Saavedra, Miguel de, 1547-1616","http://data.cervantesvirtual.com/person/2987","Eisenberg, Daniel, 1946-"
"http://data.cervantesvirtual.com/person/40","Cervantes Saavedra, Miguel de, 1547-1616","http://data.cervantesvirtual.com/person/2987","Eisenberg, Daniel, 1946-"
"http://data.cervantesvirtual.com/person/40","Cervantes Saavedra, Miguel de, 1547-1616","http://data.cervantesvirtual.com/person/5676","Welles, Orson, 1915-1985"
"http://data.cervantesvirtual.com/person/40","Cervantes Saavedra, Miguel de, 1547-1616","http://data.cervantesvirtual.com/person/5677","Aubrey, Daniel"
"http://data.cervantesvirtual.com/person/40","Cervantes Saavedra, Miguel de, 1547-1616","http://data.cervantesvirtual.com/person/3601","Cobos, Juan"
"http://data.cervantesvirtual.com/person/40","Cervantes Saavedra, Miguel de, 1547-1616","http://data.cervantesvirtual.com/corporatebody/5361","Compañía Nacional de Teatro Clásico (España)"
"http://data.cervantesvirtual.com/person/40","Cervantes Saavedra, Miguel de, 1547-1616","http://data.cervantesvirtual.com/person/5821","Cruz Casado, Antonio, 1951-"
"http://data.cervantesvirtual.com/person/40","Cervantes Saavedra, Miguel de, 1547-1616","http://data.cervantesvirtual.com/person/5821","Cruz Casado, Antonio, 1951-"
"http://data.cervantesvirtual.com/person/40","Cervantes Saavedra, Miguel de, 1547-1616","http://data.cervantesvirtual.com/person/5821","Cruz Casado, Antonio, 1951-"
"http://data.cervantesvirtual.com/person/40","Cervantes Saavedra, Miguel de, 1547-1616","http://data.cervantesvirtual.com/person/5821","Cruz Casado, Antonio, 1951-"
"http://data.cervantesvirtual.com/person/40","Cervantes Saavedra, Miguel de, 1547-1616","http://data.cervantesvirtual.com/person/5821","Cruz Casado, Antonio, 1951-"
